text,label_prediksi
Barang sampai dengan selamat (Sampel ke-0),Negatif
Kecewa dengan pengiriman (Sampel ke-1),Negatif
Standar saja sih (Sampel ke-2),Positif
Bagus banget! (Sampel ke-3),Negatif
Kurang suka warnanya (Sampel ke-4),Negatif
Oke lah untuk harga segini (Sampel ke-5),Positif
Biasa saja tidak ada yang spesial (Sampel ke-6),Positif
Layanan sangat ramah (Sampel ke-7),Positif
Produk rusak saat sampai (Sampel ke-8),Negatif
Barang sampai dengan selamat (Sampel ke-9),Positif
Kecewa dengan pengiriman (Sampel ke-10),Negatif
Standar saja sih (Sampel ke-11),Positif
Bagus banget! (Sampel ke-12),Negatif
Kurang suka warnanya (Sampel ke-13),Negatif
Oke lah untuk harga segini (Sampel ke-14),Positif
Biasa saja tidak ada yang spesial (Sampel ke-15),Positif
Layanan sangat ramah (Sampel ke-16),Positif
Produk rusak saat sampai (Sampel ke-17),Negatif
Barang sampai dengan selamat (Sampel ke-18),Positif
Kecewa dengan pengiriman (Sampel ke-19),Negatif
Standar saja sih (Sampel ke-20),Positif
Bagus banget! (Sampel ke-21),Negatif
Kurang suka warnanya (Sampel ke-22),Negatif
Oke lah untuk harga segini (Sampel ke-23),Positif
Biasa saja tidak ada yang spesial (Sampel ke-24),Positif
Layanan sangat ramah (Sampel ke-25),Positif
Produk rusak saat sampai (Sampel ke-26),Negatif
Barang sampai dengan selamat (Sampel ke-27),Positif
Kecewa dengan pengiriman (Sampel ke-28),Negatif
Standar saja sih (Sampel ke-29),Positif
Bagus banget! (Sampel ke-30),Negatif
Kurang suka warnanya (Sampel ke-31),Negatif
Oke lah untuk harga segini (Sampel ke-32),Positif
Biasa saja tidak ada yang spesial (Sampel ke-33),Positif
Layanan sangat ramah (Sampel ke-34),Positif
Produk rusak saat sampai (Sampel ke-35),Negatif
Barang sampai dengan selamat (Sampel ke-36),Positif
Kecewa dengan pengiriman (Sampel ke-37),Negatif
Standar saja sih (Sampel ke-38),Positif
Bagus banget! (Sampel ke-39),Negatif
Kurang suka warnanya (Sampel ke-40),Negatif
Oke lah untuk harga segini (Sampel ke-41),Positif
Biasa saja tidak ada yang spesial (Sampel ke-42),Positif
Layanan sangat ramah (Sampel ke-43),Positif
Produk rusak saat sampai (Sampel ke-44),Negatif
Barang sampai dengan selamat (Sampel ke-45),Positif
Kecewa dengan pengiriman (Sampel ke-46),Negatif
Standar saja sih (Sampel ke-47),Positif
Bagus banget! (Sampel ke-48),Negatif
Kurang suka warnanya (Sampel ke-49),Negatif
Oke lah untuk harga segini (Sampel ke-50),Positif
Biasa saja tidak ada yang spesial (Sampel ke-51),Positif
Layanan sangat ramah (Sampel ke-52),Positif
Produk rusak saat sampai (Sampel ke-53),Negatif
Barang sampai dengan selamat (Sampel ke-54),Positif
Kecewa dengan pengiriman (Sampel ke-55),Negatif
Standar saja sih (Sampel ke-56),Positif
Bagus banget! (Sampel ke-57),Negatif
Kurang suka warnanya (Sampel ke-58),Negatif
Oke lah untuk harga segini (Sampel ke-59),Positif
Biasa saja tidak ada yang spesial (Sampel ke-60),Positif
Layanan sangat ramah (Sampel ke-61),Positif
Produk rusak saat sampai (Sampel ke-62),Negatif
Barang sampai dengan selamat (Sampel ke-63),Positif
Kecewa dengan pengiriman (Sampel ke-64),Negatif
Standar saja sih (Sampel ke-65),Positif
Bagus banget! (Sampel ke-66),Negatif
Kurang suka warnanya (Sampel ke-67),Negatif
Oke lah untuk harga segini (Sampel ke-68),Positif
Biasa saja tidak ada yang spesial (Sampel ke-69),Positif
Layanan sangat ramah (Sampel ke-70),Positif
Produk rusak saat sampai (Sampel ke-71),Negatif
Barang sampai dengan selamat (Sampel ke-72),Positif
Kecewa dengan pengiriman (Sampel ke-73),Negatif
Standar saja sih (Sampel ke-74),Positif
Bagus banget! (Sampel ke-75),Positif
Kurang suka warnanya (Sampel ke-76),Negatif
Oke lah untuk harga segini (Sampel ke-77),Positif
Biasa saja tidak ada yang spesial (Sampel ke-78),Positif
Layanan sangat ramah (Sampel ke-79),Positif
Produk rusak saat sampai (Sampel ke-80),Negatif
Barang sampai dengan selamat (Sampel ke-81),Positif
Kecewa dengan pengiriman (Sampel ke-82),Negatif
Standar saja sih (Sampel ke-83),Positif
Bagus banget! (Sampel ke-84),Negatif
Kurang suka warnanya (Sampel ke-85),Negatif
Oke lah untuk harga segini (Sampel ke-86),Positif
Biasa saja tidak ada yang spesial (Sampel ke-87),Positif
Layanan sangat ramah (Sampel ke-88),Positif
Produk rusak saat sampai (Sampel ke-89),Negatif
Barang sampai dengan selamat (Sampel ke-90),Positif
Kecewa dengan pengiriman (Sampel ke-91),Negatif
Standar saja sih (Sampel ke-92),Positif
Bagus banget! (Sampel ke-93),Positif
